Index,Well.API,Field,Operator,Spud.Year,Max_Gas,Lat_Len,Vert_Len,Fluid,Proppant,ShalePlay
4326,3.14E+12,B-43,"Seeco, Llc",2012,665445,4373,3974,66504,3131969,Fayetteville
4327,3.14E+12,B-43,"Seeco, Llc",2012,306785,4303,2261,84487,3128997,Fayetteville
4328,3.14E+12,B-43,"Seeco, Llc",2012,367566,4326,2587,90313,3132594,Fayetteville
4329,3.14E+12,B-43,"Seeco, Llc",2012,530199,4326,2959,87166,3137987,Fayetteville
4330,3.14E+12,B-43,"Seeco, Llc",2012,552820,4613,2448,93807,3526666,Fayetteville
4331,3.14E+12,B-43,"Seeco, Llc",2013,608211,4825,2741,95228,3435513,Fayetteville
4332,3.14E+12,B-43,"Seeco, Llc",2013,690564,5787,2487,137925,4296152,Fayetteville
4333,3.14E+12,B-43,"Seeco, Llc",2013,568289,5326,3782,128965,4278409,Fayetteville
4334,3.14E+12,B-43,"Seeco, Llc",2012,573742,4673,2902,93835,3510833,Fayetteville
4335,3.14E+12,B-43,"Seeco, Llc",2012,438626,4666,2571,104963,3522105,Fayetteville
4336,3.14E+12,B-43,"Seeco, Llc",2012,519944,4454,3693,83258,3528537,Fayetteville
4337,3.14E+12,B-43,"Seeco, Llc",2012,539945,3997,4041,75065,3132107,Fayetteville
4338,3.14E+12,B-43,"Seeco, Llc",2012,558459,4878,3532,70295,3135130,Fayetteville
4339,3.14E+12,B-43,"Seeco, Llc",2012,491418,4189,3301,117772,3528682,Fayetteville
4340,3.14E+12,B-43,"Seeco, Llc",2012,647868,4663,3252,122966,3921166,Fayetteville
4341,3.14E+12,B-43,"Seeco, Llc",2012,874240,4613,3818,80537,3525203,Fayetteville
4342,3.14E+12,B-43,"Seeco, Llc",2012,830645,4840,3444,89679,3913859,Fayetteville
4343,3.14E+12,B-43,"Seeco, Llc",2012,598850,3762,2648,91021,3134354,Fayetteville
4344,3.14E+12,B-43,"Seeco, Llc",2012,453648,3610,2818,81645,2739728,Fayetteville
4345,3.14E+12,B-43,"Seeco, Llc",2012,277445,4232,2660,103277,3130664,Fayetteville
